Longitude,Latitude,Telsur_no,Age,Gender,SpCom,State,IV_Date,o_oh,F1_o,F2_o,F1_oh,F2_oh
-106.007499,35.893597,524,18,F,Santa Fe,NM,4/30/96,0,774,1181,781,1161
-78.70161,35.847788,622,32,M,Raleigh,NC,2/4/97,22,930,1406,723,1123
-78.625265,35.797692,621,33,F,Raleigh,NC,1/30/97,22,807,1274,689,1090
-82.55992,35.635844,481,46,M,Asheville,NC,2/19/96,12,812,1281,791,1207
-77.33836,35.579216,831,37,M,Greenville,NC,11/5/01,11,801,1285,805,1210
-82.6062,35.575877,484,15,F,Asheville,NC,2/22/96 & 2/29/96,11,760,1172,750,1205
-97.57336,35.484558,592,37,F,Oklahoma Ci,OK,10/10/96,11,814,1286,738,1211
-118.92268,35.396411,418,16,F,Bakersfield,CA,10/10/95,1,807,1359,810,1244
-80.804151,35.26002,563,41,F,Charlotte,NC,8/9/96,21,839,1195,788,1078
-111.93253,35.197566,525,16,M,Flagstaff,AZ,5/2/96,0,786,1299,789,1267
-80.74742,35.189544,483,45,M,Charlotte,NC,2/26/96,11,866,1370,830,1296
-101.92914,35.173704,540,30,F,Amarillo,TX,6/17/96,0,837,1170,827,1117
-101.87581,35.171903,543,16,F,Amarillo,TX,6/27/96,0,822,1302,859,1261
-106.52223,35.135303,515,14,F,Albuquerque,NM,4/8/96,0,818,1215,778,1159
-89.90389,35.112929,604,34,M,Memphis,TN,12/10/96,22,801,1383,734,1097
-78.953,35.084163,472,48,F,Fayettevill,NC,2/14/96,22,760,1251,759,1209
-85.15939,35.028574,612,35,F,Chattanooga,TN,12/12/96,22,767,1054,799,1204
-85.23748,34.996674,606,45,M,Chattanooga,TN,12/11/96,0,764,1327,779,1456
-85.23748,34.996674,609,43,M,Chattanooga,TN,12/11/96,21,857,1294,801,1300
-82.30432,34.774657,489,41,F,Greenville,SC,2/29/96,11,827,1293,802,1209
-82.30432,34.774657,492,33,F,Greenville,SC,3/4/96,11,766,1235,769,1181
-92.34242,34.771291,402,71,F,Little Rock,AR,9/27/95,22,769,1185,648,1041
-92.34019,34.729159,628,49,M,Little Rock,AR,2/19/97,22,819,1575,863,1566
-88.99973,34.489085,626,35,M,New Albany,MS,2/21/97,12,792,1347,751,1250
-118.59426,34.259052,426,50,F,Los Angeles,CA,10/24/95,0,836,1211,811,1218
-77.88452,34.221512,832,85,F,Wilmington,NC,11/7/01,22,835,1312,778,1156
-118.30848,34.058911,367,70,M,Los Angeles,CA,5/10/95,0,806,1253,754,1177
-80.96024,34.037557,501,46,F,Columbia,SC,3/18/96,22,804,1266,765,1192
-84.602,33.946735,786,31,F,Atlanta,GA,4/12/00,22,828,1273,760,1138
-84.50382,33.87578,803,26,F,Atlanta,GA,9/10/00,11,843,1419,791,1203
-118.35587,33.840264,370,35,F,Los Angeles,CA,5/10/95,0,836,1275,806,1217
-84.38065,33.771755,710,17,F,Atlanta,GA,7/11/98,11,790,1303,731,1143
-84.38065,33.771755,711,27,M,Atlanta,GA,"8/7,10/1998",11,846,1177,773,1045
-84.39682,33.658834,802,83,M,Atlanta,GA,9/7/00,22,798,1428,711,1306
-112.17825,33.657722,349,23,F,Phoenix,AZ,4/27/95,0,822,1252,810,1205
-86.81518,33.611297,341,31,F,Birmingham,AL,4/26/95,22,845,1200,857,1274
-101.821292,33.610018,542,31,M,Lubbock,TX,6/18/96,1,753,1359,730,1262
-86.76708,33.590003,340,67,F,Birmingham,AL,4/16/95,12,860,1298,902,1307
-101.88881,33.547735,541,68,F,Lubbock,TX,6/17/96,11,896,1249,829,1194
-112.10076,33.386995,632,35,M,Phoenix,AZ,2/26/97,11,857,1389,818,1261
-96.74093,32.969523,529,72,F,Dallas,TX,5/28/96,11,802,1279,753,1137
-83.72204,32.88899,566,17,M,Macon,GA,5/13/96,22,775,1341,715,1094
-96.96733,32.846645,552,60,M,Dallas,TX,7/11/96,11,734,1258,728,1229
-83.638752,32.839289,571,20,F,Macon,GA,8/26/96,11,793,1262,748,1096
-79.85899,32.813518,504,34,F,Charleston,SC,3/21/96,1,820,1363,781,1264
-79.85899,32.813518,507,12,F,Charleston,SC,3/25/96,0,821,1180,760,1065
-117.24343,32.791246,835,21,M,San Diego,CA,11/14/01,0,761,1290,788,1238
-79.9355,32.779126,500,40,F,Charleston,SC,3/13/96,21,780,1385,771,1128
-96.67582,32.72238,804,47,F,Dallas,TX,9/13/00,11,713,1208,707,1113
-96.60367,32.679924,805,23,F,Dallas,TX,9/30/00,1,812,1194,759,1151
-93.8305,32.56443,599,30,F,Shreveport,LA,11/14/96,11,886,1199,833,1140
-86.42746,32.459435,630,27,F,Montgomery,AL,2/24/97,22,907,1238,854,1131
-99.77096,32.432975,834,19,F,Abilene,TX,11/10/01,0,786,1230,785,1192
-86.24511,32.386088,624,26,M,Montgomery,AL,2/7/97,22,854,1368,811,1302
-110.98801,32.32764,523,16,F,Tucson,AZ,4/24/96,0,795,1277,785,1256
-90.25709,32.325512,598,35,M,Jackson,MS,11/5/96,22,792,1514,762,1414
-87.78812,32.297441,345,60,F,Linden,AL,4/28/95,22,836,1359,827,1284
-90.26331,32.234627,833,50,F,Jackson,MS,11/8/01,22,782,1304,739,1128
-110.76851,32.216926,337,25,F,Tucson,AZ,4/21/95,11,875,1380,827,1294
-110.88511,32.216326,522,34,M,Tucson,AZ,4/23/96,0,752,1392,758,1320
-81.06724,32.046143,391,74,M,Savannah,GA,9/13/95,12,768,1157,688,1106
-81.06724,32.046143,790,22,F,Omaha,GA,4/19/00,0,861,1324,706,1081
-102.35906,31.854455,537,19,F,Odessa,TX,6/13/96,0,808,1306,815,1259
-106.32749,31.70831,562,21,F,El Paso,TX,8/8/96,11,754,1358,726,1237
-83.59971,31.334062,559,41,F,Omega,GA,8/5/96,22,856,1240,833,1191
-84.69653,31.152253,558,41,F,Colquitt,GA,8/1/96,21,830,1151,790,1096
-88.103184,30.701142,343,50,M,Mobile,AL,4/27/95,22,907,1285,762,1107
-81.59442,30.63928,565,43,F,Jacksonvill,FL,8/12/96,11,834,1241,812,1157
-91.04812,30.537938,593,29,F,Baton Rouge,LA,10/15/96,22,856,1345,708,1115
-84.16049,30.531677,547,45,F,Tallahassee,FL,7/9/96,22,875,1300,778,1049
-97.64679,30.354234,623,25,F,Austin,TX,2/5/97,11,751,1268,718,1224
-81.60274,30.092346,567,43,F,Jacksonvill,FL,8/14/96,11,798,1212,769,1109
-90.06403,29.968054,611,69,F,New Orleans,LA,12/12/96,22,795,1363,677,1089
-90.10197,29.927305,607,44,F,New Orleans,LA,12/11/96,22,767,1285,728,1124
-89.98982,29.917005,608,38,F,New Orleans,LA,12/11/96,22,831,1321,727,1074
-95.7301,29.825908,533,42,M,Houston,TX,6/10/96,22,895,1392,913,1153
-95.46099,29.70403,536,16,F,Houston,TX,6/11/96,10,777,1281,701,1140
-98.74185,29.61403,569,56,M,San Antonio,TX,8/20/96,22,867,1369,762,1112
-98.52203,29.510562,538,66,F,San Antonio,TX,6/13/96,11,770,1384,687,1234
-81.47863,28.528789,557,23,F,Orlando,FL,7/31/96,11,852,1216,781,1126
-81.41182,28.385906,550,28,F,Orlando,FL,7/11/96,11,833,1278,767,1112
-82.54936,28.005497,572,34,M,Tampa,FL,9/4/96,12,834,1373,748,1159
-97.38542,27.733058,615,44,F,Corpus Chri,TX,1/20/97,11,828,1217,789,1149
-97.26792,27.633433,616,24,F,Corpus Chri,TX,1/20/97,1,788,1257,764,1138
-80.30476,25.824725,573,43,F,Miami,FL,9/4/96,12,980,1275,780,1090
